SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE_TEXT,SCH_TYPE,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED,school_name_clean,school_name_strict_clean,district_name_clean,zip5,phone_clean,street_address_clean,school_irn,county_name,region,region_id,anchor_county,school_level,school_type,is_regular_or_cte,latitude,longitude,coordinate_match_method,county_latitude,county_longitude,approx_longitude,approx_latitude,location_method,building_irn,school_name_clean_high_need,district_name_clean_high_need,Building Name,LEA Name,Federal ESEA Identification ,students_served,high_need,match_method,match_score
2024-2025,39,OHIO,OH,Westwood Middle School,Elyria City Schools,1,,OH-043943,3904394,OH-043943-064733,390439400907,3900907,42350 Adelbert St,,,Elyria,OH,44035,2518.0,42350 Adelbert St,,,Elyria,OH,44035,2518.0,(440)284-8017,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,05,08,Middle,As reported,westwood,westwood middle school,elyria city schools,44035,4402848017,42350 adelbert st,064733,Lorain,,,,Middle,Regular School,True,,,unmatched,41.295529962661035,-82.15107994877569,-82.19870757640332,41.29733176446284,county_centroid_jitter,007716,,,Westwood Elementary School,Elyria City Schools,Warning (ATSI),422.0,True,normalized_name,100.0
2024-2025,39,OHIO,OH,Northwood Elementary School,Elyria City Schools,1,,OH-043943,3904394,OH-043943-041756,390439400908,3900908,570 Abbe Rd N,,,Elyria,OH,44035,3709.0,570 Abbe Rd N,,,Elyria,OH,44035,1749.0,(440)284-8014,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported,northwood,northwood elementary school,elyria city schools,44035,4402848014,570 abbe rd n,041756,Lorain,,,,Elementary,Regular School,True,,,unmatched,41.295529962661035,-82.15107994877569,-82.10141027910602,41.30037480750588,county_centroid_jitter,,,,,,,0.0,False,unmatched,58.82352941176471
2024-2025,39,OHIO,OH,Elyria Early Childhood Center,Elyria City Schools,1,,OH-043943,3904394,OH-043943-035402,390439405104,3905104,42331 Griswold Rd,,,Elyria,OH,44035,2117.0,42331 Griswold Rd,,,Elyria,OH,44035,2117.0,(440)284-8250,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,PK,PK,Prekindergarten,As reported,elyria early childhood center,elyria early childhood center,elyria city schools,44035,4402848250,42331 griswold rd,035402,Lorain,,,,Prekindergarten,Regular School,True,,,unmatched,41.295529962661035,-82.15107994877569,-82.17984871754446,41.32271714984822,county_centroid_jitter,,,,,,,0.0,False,unmatched,34.285714285714285
2024-2025,39,OHIO,OH,Euclid High School,Euclid City,1,,OH-043950,3904395,OH-043950-010819,390439500909,3900909,711 E 222nd St,,,Euclid,OH,44123,2033.0,711 E 222nd St,,,Euclid,OH,44123,2033.0,(216)797-7800,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,euclid,euclid high school,euclid city,44123,2167977800,711 e 222nd st,010819,Cuyahoga,,,,High,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.62995294164905,41.440059420197606,county_centroid_jitter,,,,,,,0.0,False,unmatched,13.33333333333333
2024-2025,39,OHIO,OH,Euclid Middle School,Euclid City,1,,OH-043950,3904395,OH-043950-010793,390439500910,3900910,22555 Tracy Ave,,,Euclid,OH,44123,1522.0,22555 Tracy Ave,,,Euclid,OH,44123,1522.0,(216)797-5300,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported,euclid,euclid middle school,euclid city,44123,2167975300,22555 tracy ave,010793,Cuyahoga,,,,Middle,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.62911210080821,41.39729665743484,county_centroid_jitter,,,,,,,0.0,False,unmatched,13.33333333333333
2024-2025,39,OHIO,OH,Chardon Hills Elementary School,Euclid City,1,,OH-043950,3904395,OH-043950-018051,390439500914,3900914,1750 E 234th St,,,Euclid,OH,44117,3107.0,1750 E 234th St,,,Euclid,OH,44117,3107.0,(216)797-6400,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,chardon hills,chardon hills elementary school,euclid city,44117,2167976400,1750 e 234th st,018051,Cuyahoga,,,,Elementary,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.6798027914989,41.401220581358764,county_centroid_jitter,,,,,,,0.0,False,unmatched,18.181818181818176
2024-2025,39,OHIO,OH,Arbor Elementary School,Euclid City,1,,OH-043950,3904395,OH-043950-020719,390439500915,3900915,20400 Arbor Avenue,,,Euclid,OH,44119,,20400 Arbor Avenue,,,Euclid,OH,44119,,(216)797-6200,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,arbor,arbor elementary school,euclid city,44119,2167976200,20400 arbor avenue,020719,Cuyahoga,,,,Elementary,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.70202501372113,41.4211605212987,county_centroid_jitter,,,,,,,0.0,False,unmatched,28.57142857142857
2024-2025,39,OHIO,OH,Shoreview Elementary School,Euclid City,1,,OH-043950,3904395,OH-043950-037978,390439500920,3900920,490 E 260th St,,,Euclid,OH,44132,1462.0,490 E 260th St,,,Euclid,OH,44132,1462.0,(216)797-6500,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,shoreview,shoreview elementary school,euclid city,44132,2167976500,490 e 260th st,037978,Cuyahoga,,,,Elementary,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.69541840711452,41.42236172249991,county_centroid_jitter,,,,,,,0.0,False,unmatched,33.333333333333336
2024-2025,39,OHIO,OH,Bluestone Elementary School,Euclid City,1,,OH-043950,3904395,OH-043950-000475,390439505277,3905277,1455 E 260th St,,,Euclid,OH,44132,3107.0,1455 E 260th St,,,Euclid,OH,44132,3107.0,(216)797-6300,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,bluestone,bluestone elementary school,euclid city,44132,2167976300,1455 e 260th st,000475,Cuyahoga,,,,Elementary,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.67307606477218,41.42436372450191,county_centroid_jitter,000475,bluestone,euclid city,Bluestone Elementary School,Euclid City,Warning (ATSI),305.0,True,exact_irn,
2024-2025,39,OHIO,OH,Euclid Schools Early Learning Village,Euclid City,1,,OH-043950,3904395,OH-043950-118844,390439505717,3905717,27000 Elinore Ave,,,Euclid,OH,44132,2068.0,27000 Elinore Ave,,,Euclid,OH,44132,2001.0,(216)797-4360,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,PK,03,Elementary,As reported,euclid schools early learning village,euclid schools early learning village,euclid city,44132,2167974360,27000 elinore ave,118844,Cuyahoga,,,,Elementary,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.61397696567307,41.389528889667076,county_centroid_jitter,,,,,,,0.0,False,unmatched,26.086956521739136
2024-2025,39,OHIO,OH,Euclid Virtual Learning Academy,Euclid City,1,,OH-043950,3904395,OH-043950-019682,390439506208,3906208,22800 Fox Ave,,,Euclid,OH,44123,2068.0,22800 Fox Ave,,,Euclid,OH,44123,2068.0,(216)261-2900,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,03,12,Other,As reported,euclid virtual learning academy,euclid virtual learning academy,euclid city,44123,2162612900,22800 fox ave,019682,Cuyahoga,,,,Other,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.62454753624365,41.389448809586995,county_centroid_jitter,,,,,,,0.0,False,unmatched,15.000000000000002
2024-2025,39,OHIO,OH,Fairborn Middle School,Fairborn City,1,,OH-043968,3904396,OH-043968-062422,390439600924,3900924,900 E Dayton Yellow Springs Rd,,,Fairborn,OH,45324,5349.0,900 E Dayton Yellow Springs Rd,,,Fairborn,OH,45324,5349.0,(937)878-4681,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported,fairborn,fairborn middle school,fairborn city,45324,9378784681,900 e dayton yellow springs rd,062422,Greene,,,,Middle,Regular School,True,,,unmatched,39.69149521382165,-83.88981494380235,-83.90885398284139,39.69890262122906,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Fairborn High School,Fairborn City,1,,OH-043968,3904396,OH-043968-042796,390439600927,3900927,1523 Commerce Center Blvd,,,Fairborn,OH,45324,3912.0,1523 Commerce Center Blvd,,,Fairborn,OH,45324,3912.0,(937)879-3611,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,fairborn,fairborn high school,fairborn city,45324,9378793611,1523 commerce center blvd,042796,Greene,,,,High,Regular School,True,,,unmatched,39.69149521382165,-83.88981494380235,-83.88278791677533,39.6979416602681,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Fairborn Primary School,Fairborn City,1,,OH-043968,3904396,OH-043968-011817,390439600928,3900928,63 W Funderburg Rd,,,Fairborn,OH,45324,3435.0,63 W Funderburg Rd,,,Fairborn,OH,45324,3435.0,(937)878-3961,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,PK,02,Elementary,As reported,fairborn primary,fairborn primary school,fairborn city,45324,9378783961,63 w funderburg rd,011817,Greene,,,,Elementary,Regular School,True,,,unmatched,39.69149521382165,-83.88981494380235,-83.84759272158013,39.72132504365148,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Fairborn Intermediate School,Fairborn City,1,,OH-043968,3904396,OH-043968-029041,390439600930,3900930,1020 S Maple Ave,,,Fairborn,OH,45324,4220.0,1020 S Maple Ave,,,Fairborn,OH,45324,4220.0,(937)878-3969,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,02,05,Elementary,As reported,fairborn intermediate,fairborn intermediate school,fairborn city,45324,9378783969,1020 s maple ave,029041,Greene,,,,Elementary,Regular School,True,,,unmatched,39.69149521382165,-83.88981494380235,-83.9106557846432,39.65597969830614,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Fairborn Online Learning,Fairborn City,1,,OH-043968,3904396,OH-043968-020851,390439610876,3910876,306 E Whittier Ave,,,Fairborn,OH,45324,5313.0,306 E Whittier Ave,,,Fairborn,OH,45324,5313.0,(937)878-3961,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,07,11,Secondary,As reported,fairborn online learning,fairborn online learning,fairborn city,45324,9378783961,306 e whittier ave,020851,Greene,,,,Secondary,Regular School,True,,,unmatched,39.69149521382165,-83.88981494380235,-83.94585097983838,39.69986358219002,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Fairview High School,Fairview Park City,1,,OH-043976,3904397,OH-043976-011304,390439700934,3900934,4507 W 213 Street,,,Fairview Park,OH,44126,2105.0,4507 W 213 Street,,,Fairview Park,OH,44126,2105.0,(440)356-3500,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,fairview,fairview high school,fairview park city,44126,4403563500,4507 w 213 street,011304,Cuyahoga,,,,High,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.68004303173915,41.413312673450854,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Gilles-Sweet Elementary School,Fairview Park City,1,,OH-043976,3904397,OH-043976-029223,390439700937,3900937,4320 W 220 Street,,,Fairview Park,OH,44126,1818.0,4320 West 220 Street,,,Fairview Park,OH,44126,3047.0,(440)356-3525,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,gilles sweet,gilles sweet elementary school,fairview park city,44126,4403563525,4320 west 220 street,029223,Cuyahoga,,,,Elementary,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.6564994881956,41.42428364442183,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Lewis F Mayer Middle School,Fairview Park City,1,,OH-043976,3904397,OH-043976-020263,390439704214,3904214,21200 Campus Drive,,,Fairview Park,OH,44126,2113.0,21200 Campus Drive,,,Fairview Park,OH,44126,2113.0,(440)356-3510,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported,lewis f mayer,lewis f mayer middle school,fairview park city,44126,4403563510,21200 campus drive,020263,Cuyahoga,,,,Middle,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.68857156026768,41.422601962740146,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Parkview Early Education Center,Fairview Park City,1,,OH-043976,3904397,OH-043976-099812,390439704372,3904372,21620 Mastick Rd,,,Fairview Park,OH,44126,3047.0,21620 Mastick Rd,,,Fairview Park,OH,44126,3047.0,(440)356-3515,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,PK,PK,Prekindergarten,As reported,parkview early education center,parkview early education center,fairview park city,44126,4403563515,21620 mastick rd,099812,Cuyahoga,,,,Prekindergarten,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.67091390261001,41.44430366444185,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Fostoria Junior/Senior High School,Fostoria City,1,,OH-043992,3904399,OH-043992-012039,390439900957,3900957,1001 Park Ave,,,Fostoria,OH,44830,1455.0,1001 Park Ave,,,Fostoria,OH,44830,1455.0,(419)436-4110,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported,fostoria junior senior,fostoria junior senior high school,fostoria city,44830,4194364110,1001 park ave,012039,Seneca,,,,High,Regular School,True,,,unmatched,41.123900635150534,-83.12766259900043,-83.17240734374518,41.144921656171555,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Fostoria Elementary School,Fostoria City,1,,OH-043992,3904399,OH-043992-031757,390439900961,3900961,1202 H L Ford Dr,,,Fostoria,OH,44830,4700.0,1202 H L Ford Dr,,,Fostoria,OH,44830,4700.0,(419)436-4125,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported,fostoria,fostoria elementary school,fostoria city,44830,4194364125,1202 h l ford dr,031757,Seneca,,,,Elementary,Regular School,True,,,unmatched,41.123900635150534,-83.12766259900043,-83.1767316680695,41.108164899414795,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Franklin High School,Franklin City,1,,OH-044008,3904400,OH-044008-012310,390440000963,3900963,750 E 4th St,,,Franklin,OH,45005,2308.0,750 E 4th St,,,Franklin,OH,45005,2308.0,(937)743-8610,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,franklin,franklin high school,franklin city,45005,9377438610,750 e 4th st,012310,Warren,,,,High,Regular School,True,,,unmatched,39.42762269992848,-84.16674945512369,-84.20921191758616,39.4297448220506,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Franklin Junior High School,Franklin City,1,,OH-044008,3904400,OH-044008-062331,390440000964,3900964,750 E 4th St,,,Franklin,OH,45005,2598.0,750 E 4th St,,,Franklin,OH,45005,2598.0,(937)743-8630,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,05,08,Middle,As reported,franklin junior,franklin junior high school,franklin city,45005,9377438630,750 e 4th st,062331,Warren,,,,Middle,Regular School,True,,,unmatched,39.42762269992848,-84.16674945512369,-84.21930200767625,39.4474425197483,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,George H Gerke Elementary School,Franklin City,1,,OH-044008,3904400,OH-044008-013276,390440000965,3900965,312 Sherman Dr,,,Franklin,OH,45005,1970.0,312 Sherman Dr,,,Franklin,OH,45005,1970.0,(937)743-8650,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,KG,02,Elementary,As reported,george h gerke,george h gerke elementary school,franklin city,45005,9377438650,312 sherman dr,013276,Warren,,,,Elementary,Regular School,True,,,unmatched,39.42762269992848,-84.16674945512369,-84.12488759326183,39.39971479202057,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Hunter Elementary School,Franklin City,1,,OH-044008,3904400,OH-044008-017129,390440000967,3900967,4418 State Route 122,,,Franklin,OH,45005,9652.0,4418 State Route 122,,,Franklin,OH,45005,9652.0,(937)743-8655,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,02,02,Elementary,As reported,hunter,hunter elementary school,franklin city,45005,9377438655,4418 state route 122,017129,Warren,,,,Elementary,Regular School,True,,,unmatched,39.42762269992848,-84.16674945512369,-84.20308579146003,39.46618125848703,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,William C Schenck Elementary School,Franklin City,1,,OH-044008,3904400,OH-044008-041327,390440000970,3900970,350 Arlington Dr,,,Franklin,OH,45005,1562.0,350 Arlington Dr,,,Franklin,OH,45005,1562.0,(937)743-8665,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,KG,KG,Elementary,As reported,william c schenck,william c schenck elementary school,franklin city,45005,9377438665,350 arlington dr,041327,Warren,,,,Elementary,Regular School,True,,,unmatched,39.42762269992848,-84.16674945512369,-84.16068338905762,39.46009517240095,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Atkinson Elementary School,Fremont City,1,,OH-044016,3904401,OH-044016-001172,390440100971,3900971,1100 Delaware Ave,,,Fremont,OH,43420,4605.0,1100 Delaware Ave,,,Fremont,OH,43420,4605.0,(419)332-5361,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported,atkinson,atkinson elementary school,fremont city,43420,4193325361,1100 delaware ave,001172,Sandusky,,,,Elementary,Regular School,True,,,unmatched,41.35620651931975,-83.14643530149158,-83.19562449068077,41.378749061862294,county_centroid_jitter,001172,atkinson,fremont city,Atkinson Elementary School,Fremont City,Warning (ATSI),307.0,True,exact_irn,
2024-2025,39,OHIO,OH,Croghan Elementary School,Fremont City,1,,OH-044016,3904401,OH-044016-007815,390440100972,3900972,414 N Pennsylvania Ave,,,Fremont,OH,43420,4312.0,414 N Pennsylvania Ave,,,Fremont,OH,43420,4312.0,(419)332-1511,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported,croghan,croghan elementary school,fremont city,43420,4193321511,414 n pennsylvania ave,007815,Sandusky,,,,Elementary,Regular School,True,,,unmatched,41.35620651931975,-83.14643530149158,-83.10625512131139,41.3666569697702,county_centroid_jitter,,,,,,,0.0,False,unmatched,31.57894736842105
2024-2025,39,OHIO,OH,Fremont Middle School,Fremont City,1,,OH-044016,3904401,OH-044016-012492,390440100973,3900973,1250 North St,,,Fremont,OH,43420,1135.0,1250 North St,,,Fremont,OH,43420,1135.0,(419)332-5569,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported,fremont,fremont middle school,fremont city,43420,4193325569,1250 north st,012492,Sandusky,,,,Middle,Regular School,True,,,unmatched,41.35620651931975,-83.14643530149158,-83.11598485104113,41.361692004805235,county_centroid_jitter,,,,,,,0.0,False,unmatched,73.6842105263158
2024-2025,39,OHIO,OH,Fremont Ross High School,Fremont City,1,,OH-044016,3904401,OH-044016-012500,390440100974,3900974,1100 North St,,,Fremont,OH,43420,1132.0,1100 North St,,,Fremont,OH,43420,1132.0,(419)332-8221,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,fremont ross,fremont ross high school,fremont city,43420,4193328221,1100 north st,012500,Sandusky,,,,High,Regular School,True,,,unmatched,41.35620651931975,-83.14643530149158,-83.12343229848858,41.393804116917345,county_centroid_jitter,012500,fremont ross,fremont city,Fremont Ross High School,Fremont City,Warning (ATSI),1037.0,True,exact_irn,
2024-2025,39,OHIO,OH,Lutz Elementary School,Fremont City,1,,OH-044016,3904401,OH-044016-021774,390440100976,3900976,1929 Buckland Ave,,,Fremont,OH,43420,3505.0,1929 Buckland Ave,,,Fremont,OH,43420,3505.0,(419)332-0091,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported,lutz,lutz elementary school,fremont city,43420,4193320091,1929 buckland ave,021774,Sandusky,,,,Elementary,Regular School,True,,,unmatched,41.35620651931975,-83.14643530149158,-83.13688575194203,41.35832864144187,county_centroid_jitter,,,,,,,0.0,False,unmatched,16.666666666666664
2024-2025,39,OHIO,OH,Otis Elementary School,Fremont City,1,,OH-044016,3904401,OH-044016-028852,390440100977,3900977,718 N Brush St,,,Fremont,OH,43420,1404.0,718 N Brush St,,,Fremont,OH,43420,1404.0,(419)332-8964,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported,otis,otis elementary school,fremont city,43420,4193328964,718 n brush st,028852,Sandusky,,,,Elementary,Regular School,True,,,unmatched,41.35620651931975,-83.14643530149158,-83.10133019638647,41.360410723523955,county_centroid_jitter,,,,,,,0.0,False,unmatched,50.0
2024-2025,39,OHIO,OH,Primary Elementary School,Galion City,1,,OH-044024,3904402,OH-044024-008201,390440200981,3900981,478 Portland Way N,,,Galion,OH,44833,1115.0,478 Portland Way N,,,Galion,OH,44833,1115.0,(419)468-4010,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,PK,02,Elementary,As reported,primary,primary elementary school,galion city,44833,4194684010,478 portland way n,008201,Crawford,,,,Elementary,Regular School,True,,,unmatched,40.85072182190013,-82.91978543163302,-82.91840405025164,40.852203303381614,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Galion High School,Galion City,1,,OH-044024,3904402,OH-044024-012773,390440200983,3900983,472 Portland Way N,,,Galion,OH,44833,1115.0,472 Portland Way N,,,Galion,OH,44833,1115.0,(419)468-6500,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,galion,galion high school,galion city,44833,4194686500,472 portland way n,012773,Crawford,,,,High,Regular School,True,,,unmatched,40.85072182190013,-82.91978543163302,-82.89858423043181,40.86253363371194,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Galion Middle School,Galion City,1,,OH-044024,3904402,OH-044024-012781,390440200984,3900984,474 Portland Way N,,,Galion,OH,44833,1115.0,474 Portland Way N,,,Galion,OH,44833,1115.0,(419)468-3134,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported,galion,galion middle school,galion city,44833,4194683134,474 portland way n,012781,Crawford,,,,Middle,Regular School,True,,,unmatched,40.85072182190013,-82.91978543163302,-82.93041606226365,40.86509619627451,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Intermediate Elementary School,Galion City,1,,OH-044024,3904402,OH-044024-031369,390440200986,3900986,476 Portland Way N,,,Galion,OH,44833,1115.0,476 Portland Way N,,,Galion,OH,44833,1115.0,(419)468-3676,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,03,05,Elementary,As reported,intermediate,intermediate elementary school,galion city,44833,4194683676,476 portland way n,031369,Crawford,,,,Elementary,Regular School,True,,,unmatched,40.85072182190013,-82.91978543163302,-82.93870435055193,40.84996106113937,county_centroid_jitter,,,,,,,0.0,False,unmatched,
